Class #,Time,Day,Location,01-Warmup,02-Squats,03-Chest,04-Back,05-Triceps,06-Biceps,07-Lunges,08-Shoulders,09-Core,10-Cooldown,Class Type,Notes
37,12:40,Saturday,Ballston,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,Other,Other
38,19:00,Monday,Clarendon,BP-099,BP-103,BP-099,BP-099,BP-104,BP-103,BP-103,BP-104,BP-103,BP-104,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
39,18:30,Friday,Ballston,BP-102,BP-103,BP-099,BP-099,BP-104,BP-103,BP-103,BP-104,BP-103,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
40,19:00,Monday,Clarendon,BP-102,BP-105,BP-104,BP-104,BP-105,BP-102,BP-099,BP-105,BP-103,BP-098,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
41,19:35,Tuesday,Rosslyn,BP-102,BP-105,BP-104,BP-100 (Bonus),BP-106,BP-102,BP-099,BP-105,BP-103,BP-098,Other,Other
42,17:30,Tuesday,DC (Capitol Hill),BP-103,BP-099,BP-102,BP-105,BP-100,BP-103,BP-104,BP-104 (Bonus),BP-103,BP-104,Other,Other
43,6:00,Thursday,Falls Church,BP-103,BP-105,BP-102,BP-105,BP-100,BP-103,BP-104,BP-104 (Bonus),BP-103,BP-104,Other,Other
44,18:30,Friday,Ballston,BP-103,BP-105,BP-102,BP-105,BP-100,BP-103,BP-107,BP-104 (Bonus),BP-103,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
45,12:40,Saturday,Ballston,BP-106,BP-099,BP-099,BP-105,BP-100,BP-100,BP-100 (Bonus),BP-104 (Bonus),BP-103,BP-104,Other,Other
46,19:00,Monday,Clarendon,BP-103,BP-105,BP-102,BP-105,BP-100,BP-103,BP-107,BP-104 (Bonus),BP-103,BP-104,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
47,6:00,Thursday,Falls Church,BP-104,BP-102,BP-099,BP-100,BP-099,BP-102,BP-099,BP-100 (Bonus),BP-103,BP-101,Other,Other
48,10:00,Saturday,DC (19th & L),BP-104,BP-102,BP-099,BP-100,BP-099,BP-106,BP-099,BP-100 (Bonus),BP-103,BP-101,Other,Other
49,19:00,Monday,Clarendon,BP-104,BP-102,BP-098,BP-100,BP-099,BP-106,BP-099,BP-100 (Bonus),BP-101,BP-101,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
50,18:30,Friday,Ballston,BP-104,BP-106,BP-100,BP-100 (Bonus),BP-106,BP-100,BP-100 (Bonus),BP-100 (Bonus),BP-101,BP-105,Ballston (Friday night),Ballston (Friday 6:30 pm)
51,19:00,Monday,Clarendon,BP-100,BP-106,BP-104,BP-100 (Bonus),BP-106,BP-100,BP-100 (Bonus),BP-100 (Bonus),BP-105,BP-106,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
52,18:30,Friday,Ballston,BP-098,BP-102,BP-102,BP-098,BP-105,BP-107,BP-099,BP-106,BP-101,BP-098,Ballston (Friday night),Ballston (Friday 6:30 pm)
53,9:35,Saturday,Courthouse,BP-098,BP-102,BP-102,BP-098,BP-104,BP-103,BP-099,BP-105,BP-105,BP-098,Other,Other
54,9:00,Sunday,Clarendon,BP-098,BP-102,BP-102,BP-098,BP-104,BP-103,BP-099,BP-105,BP-105,BP-098,Other,Other
55,12:40,Saturday,Ballston,BP-099,BP-105,BP-107,BP-104,BP-105,BP-102,BP-103,BP-100 (Bonus),BP-101,BP-101,Other,Other
56,19:00,Monday,Clarendon,BP-099,BP-103,BP-107,BP-104,BP-104,BP-102,BP-103,BP-106,BP-101,BP-101,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
57,18:30,Friday,Ballston,BP-103,BP-107,BP-105,BP-107,BP-100,BP-100,BP-100 (Bonus),BP-104 (Bonus),BP-104,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
58,19:00,Monday,Clarendon,BP-103,BP-107,BP-105,BP-107,BP-100,BP-107,BP-100 (Bonus),BP-104 (Bonus),BP-104,BP-104,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
59,9:25,Saturday,Courthouse,BP-106,BP-103,BP-105,BP-105,BP-100,BP-102,BP-103,BP-100 (Bonus),BP-106,BP-106,Other,Other
60,19:00,Monday,Clarendon,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
61,18:15,Wednesday,Courthouse,BP-108,BP-108,BP-108,BP-108,BP-108 (Combo),BP-108 (Combo),BP-108 (Combo),BP-108 (Combo),BP-108,BP-108,Other,Other
62,18:30,Friday,Ballston,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,Ballston (Friday night),Ballston (Friday 6:30 pm)
63,19:00,Monday,Clarendon,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
64,18:30,Friday,Ballston,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,Ballston (Friday night),Ballston (Friday 6:30 pm)
65,18:30,Friday,Ballston,BP-099,BP-104,BP-099,BP-105,BP-104,BP-102,BP-104,BP-104,BP-108,BP-108,Ballston (Friday night),Ballston (Friday 6:30 pm)
66,18:30,Friday,Ballston,BP-102,BP-103 (Bonus),BP-103,BP-098,BP-108,BP-098,BP-098,BP-098,BP-106,BP-108,Ballston (Friday night),Ballston (Friday 6:30 pm)
67,17:30,Monday,Leesburg,BP-106,BP-105,BP-098,BP-100 (Bonus),BP-106,BP-098,BP-100 (Bonus),BP-105,BP-103,BP-104,Other,Other
68,18:30,Tuesday,Ballston,BP-104,BP-106,BP-103,BP-100 (Bonus),BP-106,BP-098,BP-100 (Bonus),BP-105,BP-103,BP-105,Other,Other
69,19:00,Monday,Clarendon,BP-101,BP-103 (Bonus),BP-103,BP-098,BP-105,BP-098,BP-098,BP-107,BP-106,BP-099,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
70,18:30,Friday,Ballston,BP-101,BP-098,BP-104,BP-099,BP-107,BP-100,BP-098,BP-108,BP-108,BP-099,Ballston (Friday night),Ballston (Friday 6:30 pm)
71,18:30,Saturday,Ballston,BP-101,BP-098,BP-104,BP-099,BP-107,BP-100,BP-098,BP-108,BP-108,BP-099,Other,Other
72,19:00,Monday,Clarendon,BP-106,BP-098,BP-104,BP-100,BP-101,BP-100,BP-098,BP-100 (Bonus),BP-102,BP-099,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
73,18:30,Friday,Ballston,BP-106,BP-102,BP-105,BP-100,BP-101,BP-098,BP-104,BP-100 (Bonus),BP-102,BP-102 (Bonus),Ballston (Friday night),Ballston (Friday 6:30 pm)
74,18:30,Tuesday,Ballston,BP-099,BP-103,BP-100,BP-105,BP-108,BP-103,BP-100 (Bonus),BP-106,BP-105,BP-102 (Bonus),Other,Other
75,19:00,Monday,Clarendon,BP-108,BP-103,BP-100,BP-105,BP-104,BP-103,BP-104,BP-105,BP-105,BP-102 (Bonus),Clarendon (Monday night),Clarendon (Monday 7:00 pm)
76,11:30,Saturday,Van Dorn,BP-106,BP-103,BP-100,BP-108,BP-106,BP-098,BP-100 (Bonus),BP-100 (Bonus),BP-106,BP-102 (Bonus),Other,Other
77,18:00,Thursday,Clarendon,BP-104,BP-103,BP-103,BP-108,BP-106,BP-098,BP-100 (Bonus),BP-100 (Bonus),BP-108,BP-102 (Bonus),Other,Other
