01-Warmup,02-Squats,03-Chest,04-Back,05-Triceps,06-Biceps,07-Lunges,08-Shoulders,09-Core,10-Cooldown
BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100
BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100
BP-099,BP-106,BP-103,BP-100,BP-099,BP-098,BP-098,BP-104 (Bonus),BP-101,BP-101
BP-099,BP-105,BP-102,BP-104,BP-099,BP-103,BP-098,BP-104 (Bonus),BP-101,BP-101
BP-099,BP-105,BP-102,BP-104,BP-099,BP-103,BP-098,BP-100 (Bonus),BP-105,BP-101
BP-103,BP-098,BP-099,BP-106,BP-108,BP-106,BP-103,BP-106,BP-106,BP-104
BP-103,BP-098,BP-099,BP-106,BP-108,BP-106,BP-103,BP-106,BP-106,BP-104
BP-108,BP-100,BP-098,BP-108,BP-104,BP-100,BP-105,BP-100 (Bonus),BP-109,BP-105
BP-108,BP-106,BP-107,BP-108,BP-109,BP-100,BP-108,BP-107,BP-108,BP-108
BP-104,BP-102,BP-100,BP-099,BP-109,BP-104,BP-105,BP-108,BP-108,BP-109
